metric,bl_mean,ag_mean,U,p,p_exact,r,n_baseline,n_agentic,excluded_repos
gini,0.8816626722195583,0.7253576743776294,157.0,0.0010783923273745,0.0006005570684531514,-0.7444444444444445,15,12,
delta_aic,95.21338607336111,27.455837597581873,138.0,0.01917244505212934,0.01858988740130213,-0.5333333333333334,15,12,
frac_leaves,0.6800966726728856,0.4953180826431465,140.0,0.014697425142238929,0.013871487690305835,-0.5555555555555556,15,12,
entropy_norm,0.7700759533949516,0.8869236228578884,26.0,0.001791040768856389,0.0011557847336552411,0.7111111111111111,15,12,
vuong_z,6.003601266060981,2.7663747972106623,145.0,0.007280786276818718,0.0062691485090192855,-0.6111111111111112,15,12,
