repo,date,commit,is_post,n_files,n_files_pos_fanin,frac_leaves,max_fanin,mean_fanin,gini,entropy_norm,r2_powerlaw,r2_lognormal,aic_powerlaw,aic_lognormal,bic_powerlaw,bic_lognormal,delta_aic,lognormal_wins,vuong_z,vuong_p,lognormal_coeff_c
pytest,2024-01-01,6bec880283cd9f6c37a73c522271e8eb5d0ffab7,False,258,61,0.7635658914728682,140.0,4.8062015503875966,0.9093023255813952,0.8338703361031828,0.8357505989977643,0.9593086924209118,-67.44960091527022,-150.56726325944405,-63.2278531869236,-144.23464166692412,83.11766234417382,True,10.912364125004448,0.0,-0.4508910414954077
pytest,2024-02-01,4546d5445aaefe6a03957db028c263521dfb5c4b,False,255,59,0.7686274509803922,138.0,4.7254901960784315,0.9093548124644049,0.8369100872886588,0.8191264448807206,0.9462031556854419,-59.061599460961105,-128.60401929664536,-54.90652457314967,-122.3714069649282,69.54241983568426,True,9.542446340045588,0.0,-0.4630828030189398
pytest,2024-03-01,b6bf58abe8f02f9c0d30763fcb8ed346b5621e0b,False,255,59,0.7686274509803922,141.0,4.7254901960784315,0.9093938654299893,0.8365289015794922,0.8208137481739106,0.9462056950593647,-60.04348305017321,-129.03571522341187,-55.88840816236177,-122.8031028916947,68.99223217323866,True,9.766412968810775,0.0,-0.4583338187793835
pytest,2024-04-01,44895289c725ed922889c882b7f1b78b741eba20,False,256,60,0.765625,141.0,4.7734375,0.9094977495908347,0.834627948875351,0.8293007026554267,0.9533492849292585,-63.76098173358895,-139.59389720586424,-59.572292609144746,-133.31086351919794,75.83291547227529,True,10.52218531991712,0.0,-0.4547170269336128
pytest,2024-05-01,1385ec117d651bc86cff16db66b8cfa68d27fc1f,False,256,60,0.765625,141.0,4.79296875,0.9096850804808476,0.8343405748569704,0.8299545220728293,0.9542963841934929,-63.795179131233894,-140.62848932451473,-59.60649000678969,-134.34545563784843,76.83331019328084,True,10.39479163751325,0.0,-0.4559986493281857
pytest,2024-06-01,10c6db2df2f6c40b212785ef00fc834cc5eb3288,False,256,60,0.765625,141.0,4.79296875,0.9096850804808476,0.8343405748569704,0.8299545220728293,0.9542963841934929,-63.795179131233894,-140.62848932451473,-59.60649000678969,-134.34545563784843,76.83331019328084,True,10.39479163751325,0.0,-0.4559986493281857
pytest,2024-07-01,51ee3880c7cf2552fa5e114d5c88e83a73901a1e,False,256,60,0.765625,140.0,4.80859375,0.9093185164500406,0.8354184695143183,0.8277542979431707,0.9533049101349704,-63.05062742089791,-139.36760386464329,-58.86193829645371,-133.08457017797699,76.31697644374538,True,10.39937098204485,0.0,-0.45810734935631436
pytest,2024-08-01,5a0158368798f466ac74c8e89aef40829cd86d5c,False,256,60,0.765625,141.0,4.8125,0.9093318790584415,0.8353014244870207,0.8276934766917723,0.9530722085792529,-63.00382220868154,-139.04371833415487,-58.81513308423734,-132.76068464748857,76.03989612547333,True,10.43143059831167,0.0,-0.45789142363871094
pytest,2024-09-01,4604387ae444a4f3478243f6d12f40b0cc48e121,False,255,60,0.7647058823529411,138.0,4.819607843137255,0.9087637007610205,0.8360424185461391,0.8268871433218627,0.953278956873823,-62.78599951888914,-139.37094354394353,-58.59731039444494,-133.08790985727723,76.58494402505438,True,10.345769071152331,0.0,-0.45949899972062247
pytest,2024-10-01,7add2af7087dc32af19a38f5950a5b64a19d1de5,False,255,60,0.7647058823529411,139.0,4.8352941176470585,0.9089960720703529,0.8354890019285144,0.827888493001833,0.9536293235574133,-63.0184596863202,-139.70697630751397,-58.829770561875996,-133.42394262084767,76.68851662119377,True,10.306116508802615,0.0,-0.458755903944741
