repo,date,commit,is_post,n_files,n_files_pos_fanin,frac_leaves,max_fanin,mean_fanin,gini,entropy_norm,r2_powerlaw,r2_lognormal,aic_powerlaw,aic_lognormal,bic_powerlaw,bic_lognormal,delta_aic,lognormal_wins,vuong_z,vuong_p,lognormal_coeff_c
numpy,2023-10-01,b3102531b4921d058f84556d60ae85c39c4aa47e,False,555,158,0.7153153153153153,364.0,2.581981981981982,0.9299258784255295,0.7017847037341927,0.9771303574657246,0.9811853382305674,-541.1315217390771,-569.969002731707,-535.0063316730232,-560.7812176326261,28.83748099262982,True,4.597811695709039,4.273928486675516e-06,-0.056010966745983826
numpy,2023-11-01,7a4f6b0c11f9b5c13aa9e463a2a8f2c040a6daed,False,577,161,0.7209705372616985,367.0,2.5545927209705375,0.9308099489945891,0.7036576152412914,0.9743777328760242,0.9795950063098414,-533.0674852583463,-567.7243071122183,-526.9046765283774,-558.480094017265,34.656821853871975,True,4.633357895875684,3.601689784860085e-06,-0.06333011300907676
numpy,2023-12-01,44570a8fe8263c8de2463c969324643b9af2feec,False,579,162,0.7202072538860104,369.0,2.557858376511226,0.9307789280220735,0.7028210943640343,0.9751099347750253,0.979894858120429,-541.8309398621337,-574.4168284845363,-535.655747191669,-565.1540394788391,32.585888622402535,True,4.49678458940981,6.905212613927958e-06,-0.06044211882535633
numpy,2024-01-01,d4a66a3d7e827b99067acd8b47cba4309ace6b42,False,579,162,0.7202072538860104,370.0,2.5664939550949915,0.9307968209913131,0.7027432268829237,0.974696154007673,0.9796680994436082,-538.8184843335409,-572.2584614913513,-532.6432916630762,-562.9956724856542,33.439977157810404,True,4.548364259236583,5.411724923964911e-06,-0.06167697357375301
numpy,2024-02-01,97773523a4b95ba97469bdc71d1634006f2ed76c,False,584,164,0.7191780821917808,374.0,2.5924657534246576,0.9306721738658368,0.7033370782861369,0.9742781768714199,0.9796819868384095,-541.7931525437954,-578.46959071917,-535.5934196881469,-569.1699914356974,36.67643817537464,True,4.6555499051079625,3.234737008250832e-06,-0.06435564165814911
numpy,2024-03-01,06b169bdcdc01d020c573d0af845327173e403c9,False,586,166,0.7167235494880546,376.0,2.6006825938566553,0.9299960585131637,0.7031279008036837,0.9746047717742315,0.9798908932485616,-551.6456961053706,-588.3881881961995,-545.4217205286575,-579.0522248311299,36.74249209082893,True,4.628769796502755,3.6823824722809206e-06,-0.06330173743235579
numpy,2024-04-01,4517378290b67dc03bd47a74ea1a5540be6934f5,False,559,149,0.7334525939177102,352.0,2.518783542039356,0.934623516018865,0.6984218461939461,0.9759921767120623,0.9805865587739375,-501.40454046191076,-531.0542375905425,-495.39664785001986,-522.0423986727061,29.649697128631715,True,4.362731547236574,1.2854832376341108e-05,-0.06058922621684881
numpy,2024-05-01,b2960879bbf90af0cc3e533d2721d3a30470b056,False,561,149,0.7344028520499108,353.0,2.516934046345811,0.9350133563597987,0.6978094709672072,0.9761134586576857,0.9806498081857599,-501.9566715983501,-531.3379853926305,-495.9487789864592,-522.3261464747941,29.381313794280345,True,4.38165025406159,1.1787752323799694e-05,-0.06024627624290535
numpy,2024-06-01,da5a7797265f74405670a11f2b0d4ff01e2ee380,False,562,149,0.7348754448398577,354.0,2.5160142348754446,0.9351930617566078,0.6975972664908945,0.9761340058111616,0.9806681806480497,-501.94153150922983,-531.3361591630791,-495.93363889733894,-522.3243202452427,29.394627653849227,True,4.393075945783139,1.1184831312016641e-05,-0.06026081759803348
numpy,2024-07-01,c21ac104e544e24c88dbf625b6dccdbe7b90e39e,False,565,151,0.7327433628318584,356.0,2.5132743362831858,0.9351140471145458,0.6959916562869817,0.976438320739396,0.9804791076288947,-510.79852673295113,-537.207113541617,-504.76396705932126,-528.1552740311722,26.40858680866586,True,4.099173618910777,4.148526306457789e-05,-0.056716344773100835
numpy,2024-08-01,bb391b5d9fa049d30ad95ecc7245820541f81567,False,567,152,0.7319223985890653,358.0,2.5255731922398588,0.935032465293173,0.6960681598391821,0.9766587518027648,0.9805834240080245,-515.5401124553572,-541.5225479689578,-509.49235141366466,-532.450906406419,25.98243551360065,True,4.041807539836855,5.306716063224748e-05,-0.05584179991720062
numpy,2024-09-01,8420a7eebee423932ab78a3c86292ccf38d91e09,False,570,154,0.7298245614035088,358.0,2.512280701754386,0.9343183377438009,0.6961675455130801,0.9771300954431367,0.9804291595049449,-527.665836095479,-549.6561264360267,-521.5919308906517,-540.5452686287858,21.990290340547745,True,3.602624913662985,0.0003150938151590399,-0.050714160853139956
numpy,2024-10-01,3ee9e6aa2d9276648e909a6d0552844ed5bbd98e,False,570,154,0.7298245614035088,358.0,2.5157894736842104,0.9341726002593653,0.6968041545929249,0.9770139835528328,0.9805365186539142,-526.8195124550473,-550.4368106499943,-520.74560725022,-541.3259528427534,23.61729819494701,True,3.7539777545837048,0.00017410444914656154,-0.05241495408943386
