repo,adoption_first_post_snapshot,n_pre,n_post,k,pre_min,pre_max,post_min,post_max,last_k_pre,first_k_post,D,wilcoxon_p,pre_trend_per_month,D_minus_trend,D_delta_aic,D_vuong_z,cp_gini,lag_gini,cpdelta_gini,cp_delta_aic,lag_delta_aic,cpdelta_delta_aic,cp_vuong_z,lag_vuong_z,cpdelta_vuong_z
celery,2025-06-01,25,12,6,0.8580107934424748,0.8672584403043913,0.8666041710554033,0.8713730090134584,0.8664340022853393,0.8680224354881033,0.001588433202764028,0.03125,0.00043748442896857087,-0.0010364733710473972,12.963284947083181,1.02546013534503,2024-02-01,-486,0.008224463753697009,2026-03-01,273,23.370723480538445,2026-03-01,273,1.3896782265444863
numpy,2025-11-01,25,7,6,0.9297985326247027,0.9351930617566078,0.932338512106613,0.9389363088234317,0.931695888725984,0.9364756808741274,0.004779792148143391,0.0625,2.4545157403678453e-05,0.004632521203721321,-23.168151048280873,-2.491176829458361,2026-01-01,61,0.005787892399092831,2026-01-01,61,-25.826083171301526,2026-01-01,61,-3.009314995563442
pandas,2026-01-01,25,5,5,0.9600872235755988,0.9614736765570184,0.9615056657681071,0.9622085802349329,0.9610624306037977,0.9619635985231977,0.0009011679193999811,,3.520259857251417e-05,0.0007251549265374103,-3.876337968877465,0.452808231699116,2026-03-01,59,0.0012602758645826606,2026-01-01,0,-6.435018729614768,2026-03-01,59,0.8013364117767559
pytest,2026-02-01,25,4,4,0.9060327914392698,0.9096850804808476,0.9064511300703488,0.9070681079342471,0.9070529644735077,0.9067549464715117,-0.00029801800199602546,,-0.00012790387459377643,0.00021359749637908025,-4.003658544098187,0.10879994969008244,2025-04-01,-306,-0.002063886362135059,2025-04-01,-306,7.763584052812902,2025-12-01,-62,0.6567305606039007
fastapi,2026-03-01,25,3,3,0.9361506315670929,0.9833200357992742,0.9806007302969897,0.9806481967787113,0.9829409164682215,0.9806231993924066,-0.0023177170758148513,,0.0026758709938025874,-0.010345330057222614,-40.81605751929703,-2.5714446182361437,2025-02-01,-393,0.04272664748075505,2025-02-01,-393,-620.3056392819208,2026-03-01,0,-6.445375927647228
scrapy,2026-03-01,24,3,3,0.8731553005223276,0.900276692364558,0.8995435522692283,0.9016495863686873,0.8982803580675663,0.9009432132698268,0.0026628552022605056,,0.0012981017358846408,-0.0012314500053934169,8.50471992165619,0.11775782921751121,2025-06-01,-273,0.020382560229809554,2025-11-01,-120,46.56603250629585,2025-11-01,-120,0.7423050308666228
django,2026-04-01,25,2,2,0.9323880588954567,0.9330375220781459,0.9330670813283359,0.9332699461820231,0.9328835127694932,0.9331685137551795,0.00028500098568629006,,2.0138110472145262e-05,0.0002447247647419995,10.448421944163329,0.02814538847079362,2026-03-01,-31,0.0004374463233298709,2026-03-01,-31,38.68231017515592,2025-10-01,-182,0.5294699110796541
pydantic,2026-04-01,25,2,2,0.8726397630507219,0.9164183038339111,0.9163947469132072,0.9166725268984641,0.9158946683653877,0.9165336369058357,0.0006389685404479817,,5.088446184291825e-05,0.0005371996167621452,-0.7854114174108275,-0.1370141449094291,2025-12-01,-121,0.030866815175372708,2025-12-01,-121,16.43406872719043,2025-12-01,-121,0.7156125675994329
